Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
24931, 15:39:12, 25701, 2573, 25427, 29472, 24948, 29810 
 35376, 15:39:27, -741, 526, -7919, -7, 3, 1 
 35377, 15:39:27, -730, 535, -7918, -6, 4, 1 
 35379, 15:39:27, -744, 513, -7928, -6, 3, -1 
 35380, 15:39:27, -744, 513, -7928, -6, 3, -1 
 35382, 15:39:27, -739, 520, -7938, -8, 2, -1 
 35387, 15:39:27, -734, 531, -7916, -5, 2, -1 
 35388, 15:39:27, -735, 523, -7917, -5, 3, -2 
 35400, 15:39:27, -735, 521, -7953, -7, 2, 1 
 35404, 15:39:27, -736, 526, -7909, -6, 2, 1 
 35405, 15:39:27, -732, 543, -7934, -6, 2, -1 
 35408, 15:39:27, -741, 536, -7935, -8, 2, 0 
 35409, 15:39:27, -722, 536, -7925, -7, 2, -1 
 35415, 15:39:27, -740, 530, -7917, -6, 3, -1 
 35416, 15:39:27, -735, 528, -7926, -6, 3, -1 
 35417, 15:39:27, -722, 543, -7934, -6, 2, -1 
 35418, 15:39:27, -720, 534, -7937, -6, 2, 1 
 35421, 15:39:28, -723, 550, -7919, -6, 3, 0 
 35424, 15:39:28, -718, 541, -7919, -7, 1, 0 
 35425, 15:39:28, -719, 539, -7923, -7, 1, -1 
 35426, 15:39:28, -731, 541, -7911, -7, 2, -1 
 35427, 15:39:28, -716, 539, -7915, -7, 1, 0 
 35428, 15:39:28, -738, 543, -7933, -8, 2, 0 
 35430, 15:39:28, -740, 523, -7913, -6, 2, 1 
 35431, 15:39:28, -735, 545, -7918, -6, 1, 0 
 35435, 15:39:28, -724, 544, -7920, -11, 3, 1 
 35443, 15:39:28, -724, 534, -7918, -8, 1, 0 
 35444, 15:39:28, -728, 535, -7920, -8, 2, 0 
 35445, 15:39:28, -739, 544, -7935, -8, 1, 1 
 35446, 15:39:28, -726, 534, -7927, -8, 0, 1 
 35457, 15:39:28, -742, 551, -7926, -6, 1, 0 
 35462, 15:39:28, -738, 534, -7906, -4, 1, -1 
 35465, 15:39:28, -739, 554, -7925, -5, 2, 0 
 35469, 15:39:28, -739, 535, -7917, -4, 1, -1 
 35470, 15:39:28, -716, 540, -7904, -4, 1, 0 
 35471, 15:39:28, -733, 537, -7918, -5, 2, -1 
 35472, 15:39:28, -747, 544, -7925, -3, 2, 0 
 35475, 15:39:28, -743, 537, -7926, -3, 2, 0 
 35479, 15:39:28, -728, 526, -7920, -3, 3, 0 
 35481, 15:39:28, -729, 537, -7919, -4, 2, -1 
 35482, 15:39:28, -727, 536, -7920, -4, 2, 0 
 35488, 15:39:28, -725, 547, -7911, -1, 0, 0 
 35491, 15:39:28, -743, 535, -7940, -1, 0, -1 
 35494, 15:39:28, -728, 516, -7920, 0, 2, -1 
 35503, 15:39:28, -739, 525, -7927, -2, 1, -2 
 35506, 15:39:28, -747, 532, -7924, -3, 2, -1 
 35509, 15:39:28, -743, 528, -7920, -3, 1, 0 
 35519, 15:39:28, -725, 530, -7934, -6, 3, 0 
 35520, 15:39:29, -731, 527, -7921, -7, 2, -1 
 35521, 15:39:29, -746, 521, -7921, -6, 2, -1 
 35522, 15:39:29, -736, 516, -7940, -8, 2, -1 
 35525, 15:39:29, -727, 530, -7922, -9, 3, 0 
 35529, 15:39:29, -722, 527, -7914, -8, 2, 0 
 35530, 15:39:29, -739, 518, -7909, -7, 2, -1 
 35531, 15:39:29, -729, 527, -7912, -6, 2, 0 
 35535, 15:39:29, -730, 542, -7940, -8, 3, -1 
 35536, 15:39:29, -732, 540, -7924, -9, 5, 0 
 35539, 15:39:29, -745, 527, -7928, -8, 4, -1 
 35554, 15:39:29, -723, 537, -7934, -7, 4, 0 
 35555, 15:39:29, -722, 519, -7922, -9, 3, 0 
 35558, 15:39:29, -722, 535, -7923, -7, 2, 0 
 35560, 15:39:29, -734, 523, -7929, -7, 3, 2 
 35562, 15:39:29, -739, 535, -7940, -6, 2, -1 
 35563, 15:39:29, -744, 540, -7911, -6, 2, -1 
 35573, 15:39:29, -738, 531, -7919, -5, 2, 0 
 35574, 15:39:29, -748, 529, -7943, -6, 2, 0 
 35576, 15:39:29, -735, 526, -7927, -6, 2, 0 
 35584, 15:39:29, -736, 539, -7928, -5, 1, 0 
 35585, 15:39:29, -733, 526, -7935, -4, 3, 0 
 35600, 15:39:29, -747, 522, -7917, -2, 0, -2 
 35601, 15:39:29, -729, 519, -7911, -1, -1, -2 
 35603, 15:39:29, -733, 510, -7924, 0, 0, -1 
 35605, 15:39:29, -737, 518, -7917, 0, 0, -1 
 35607, 15:39:29, -736, 539, -7914, 0, 2, 0 
 35609, 15:39:29, -729, 516, -7931, -1, 2, -1 
 35612, 15:39:29, -754, 523, -7939, -4, 0, -1 
 35618, 15:39:29, -735, 504, -7926, -4, 3, 0 
 35625, 15:39:30, -745, 510, -7927, -7, 2, -1 
 35626, 15:39:30, -736, 514, -7934, -8, 2, 0 
 35637, 15:39:30, -746, 517, -7927, -5, 1, 0 
 35642, 15:39:30, -737, 534, -7941, -7, 3, -1 
 35643, 15:39:30, -749, 523, -7933, -9, 3, -1 
 35653, 15:39:30, -720, 543, -7924, -7, 3, 1 
 35656, 15:39:30, -739, 533, -7927, -7, 1, 1 
 35657, 15:39:30, -736, 526, -7937, -7, 2, 1 
 35660, 15:39:30, -740, 524, -7937, -5, 1, 0 
 35670, 15:39:30, -740, 524, -7926, -6, 2, -1 
 35671, 15:39:30, -736, 515, -7932, -7, 2, 0 
 35674, 15:39:30, -734, 531, -7915, -6, 1, 0 
 35687, 15:39:30, -743, 528, -7935, -5, 3, 1 
 35688, 15:39:30, -745, 539, -7927, -5, 2, 1 
 35717, 15:39:30, -737, 526, -7927, -2, 1, 1 
 35718, 15:39:30, -742, 511, -7932, -3, 2, -1 
 35727, 15:39:31, -742, 519, -7925, -5, 1, 0 
 35732, 15:39:31, -734, 521, -7928, -6, 3, 0 
 35741, 15:39:31, -750, 503, -7924, -3, 2, 1 
 35744, 15:39:31, -734, 517, -7947, -5, 2, -1 
 35748, 15:39:31, -743, 527, -7913, -6, 2, -1 
 35749, 15:39:31, -744, 507, -7931, -5, 1, 0 
 35750, 15:39:31, -727, 496, -7941, -6, 1, 0 
 35752, 15:39:31, -743, 516, -7922, -4, 2, -1 
 35765, 15:39:31, -739, 523, -7932, -10, 3, 1 
 35768, 15:39:31, -737, 526, -7914, -11, 3, 1 
 35769, 15:39:31, -745, 517, -7915, -12, 3, 0 
 35780, 15:39:31, -748, 518, -7941, -8, 4, 0 
 35785, 15:39:31, -748, 528, -7931, -8, 2, 0 
 35789, 15:39:31, -736, 527, -7914, -8, 1, 0 
 35790, 15:39:31, -742, 538, -7932, -7, 2, 1 
 35801, 15:39:31, -733, 523, -7934, -6, 2, 2 
 35819, 15:39:31, -734, 502, -7925, -6, 4, 1 
 35829, 15:39:32, -735, 521, -7924, -5, 2, 0 
 35830, 15:39:32, -734, 522, -7924, -4, 2, -1 
 35833, 15:39:32, -756, 535, -7929, -4, 2, -1 
 35846, 15:39:32, -743, 518, -7926, -7, 3, 0 
 35852, 15:39:32, -746, 510, -7923, -5, 3, 0 
 35865, 15:39:32, -740, 515, -7919, -6, 4, 0 
 35867, 15:39:32, -730, 519, -7927, -4, 2, -1 
 35879, 15:39:32, -738, 527, -7931, -9, 3, -1 
 35895, 15:39:32, -737, 514, -7933, -7, 2, 1 
 35900, 15:39:32, -741, 520, -7921, -5, 0, -1 
 35903, 15:39:32, -737, 524, -7922, -6, 0, -2 
 35906, 15:39:32, -721, 524, -7919, -6, 2, -1 
 35910, 15:39:32, -738, 523, -7919, -4, 1, 1 
 35914, 15:39:32, -726, 526, -7926, -6, 3, -1 
 35916, 15:39:32, -743, 508, -7931, -6, 2, 0 
 35920, 15:39:33, -743, 535, -7917, -5, 1, 1 
 35925, 15:39:33, -738, 503, -7937, -4, 2, 1 
 35927, 15:39:33, -744, 511, -7934, -5, 2, 1 
 35928, 15:39:33, -739, 511, -7919, -6, 2, 1 
 35933, 15:39:33, -737, 520, -7929, -6, 2, 1 
 35934, 15:39:33, -734, 524, -7929, -5, 1, -1 
 35938, 15:39:33, -728, 517, -7912, -3, 1, -1 
 35939, 15:39:33, -753, 525, -7907, -3, 1, -1 
 35945, 15:39:33, -735, 505, -7927, -4, 2, 0 
 35949, 15:39:33, -747, 523, -7935, -5, 3, 0 
 35954, 15:39:33, -740, 518, -7926, -6, 2, 0 
 35963, 15:39:33, -743, 512, -7929, -6, 2, 0 
 35967, 15:39:33, -736, 518, -7909, -6, 1, 0 
 35970, 15:39:33, -729, 510, -7925, -4, 2, -1 
 35973, 15:39:33, -744, 523, -7913, -4, 2, 0 
 35980, 15:39:33, -740, 525, -7911, -6, 5, 1 
 35981, 15:39:33, -731, 525, -7906, -8, 2, 0 
 35995, 15:39:33, -727, 513, -7926, -8, 1, 1 
 35996, 15:39:33, -742, 515, -7905, -8, 4, -1 
 35998, 15:39:33, -744, 517, -7934, -9, 3, 1 
 35999, 15:39:33, -749, 505, -7925, -8, 2, 0 
 36008, 15:39:33, -746, 520, -7922, -6, 2, -1 
 36011, 15:39:33, -731, 530, -7919, -6, 3, -1 
 36012, 15:39:33, -747, 513, -7917, -5, 1, 0 
 36014, 15:39:33, -744, 533, -7934, -5, 3, 0 
 36015, 15:39:33, -728, 532, -7914, -4, 2, 1 
 36016, 15:39:33, -725, 521, -7943, -6, 3, 0 
 36018, 15:39:33, -748, 516, -7924, -4, 2, 0 
 36019, 15:39:33, -741, 531, -7921, -5, 3, -1 
 36032, 15:39:34, -743, 520, -7941, -6, 3, -1 
 36034, 15:39:34, -732, 521, -7931, -8, 3, -1 
 36036, 15:39:34, -714, 513, -7932, -7, 3, 0 
 36039, 15:39:34, -739, 522, -7936, -7, 1, -1 
 36040, 15:39:34, -745, 521, -7944, -7, 3, 0 
 36041, 15:39:34, -748, 530, -7926, -6, 2, -1 
 36042, 15:39:34, -732, 527, -7927, -6, 2, 0 
 36044, 15:39:34, -756, 524, -7920, -6, 3, -1 
 36045, 15:39:34, -736, 529, -7927, -6, 2, 0 
 36049, 15:39:34, -732, 509, -7939, -8, 2, -2 
 36051, 15:39:34, -727, 539, -7909, -7, 2, -1 
 36052, 15:39:34, -723, 512, -7918, -7, 2, 0 
 36057, 15:39:34, -736, 522, -7912, -6, 3, -1 
 36058, 15:39:34, -727, 512, -7914, -5, 3, 0 
 36062, 15:39:34, -742, 515, -7930, -6, 4, 0 
 36066, 15:39:34, -742, 522, -7945, -5, 2, 0 
 36077, 15:39:34, -740, 519, -7926, -2, 3, 0 
 36079, 15:39:34, -740, 519, -7929, -2, 0, -1 
 36080, 15:39:34, -743, 525, -7912, -3, 1, -1 
 36083, 15:39:34, -747, 523, -7918, -4, 2, 0 
 36100, 15:39:34, -741, 520, -7915, -7, 2, 1 
 36101, 15:39:34, -725, 519, -7937, -7, 1, 0 
 36115, 15:39:34, -743, 530, -7937, -7, 2, 0 
 36121, 15:39:35, -724, 528, -7934, -5, -2, -3 
 36123, 15:39:35, -752, 523, -7933, -5, 0, -1 
 36160, 15:39:35, -763, 497, -7933, -6, 0, -2 
 36165, 15:39:35, -749, 518, -7932, -5, 0, -1 
 36185, 15:39:35, -750, 503, -7934, -7, 1, 0 
 36188, 15:39:35, -749, 509, -7941, -6, 2, -4 
 36190, 15:39:35, -728, 508, -7938, -6, -3, -3 
 36192, 15:39:35, -741, 497, -7919, -4, -1, -3 
 36213, 15:39:35, -1054, 510, -10346, -590, 277, 215 
 36216, 15:39:35, -644, 689, -10930, -1060, 432, 253 
 36221, 15:39:36, -1279, 970, -10425, -2080, 682, 312 
 36231, 15:39:36, -3685, -8001, -5457, 253, -417, 8 
 36232, 15:39:36, -2523, -8368, -5873, 502, -562, 85 
 36240, 15:39:36, -1545, -2922, -9452, 2100, -892, -132 
 36241, 15:39:36, -1700, -2004, -9797, 2145, -937, -224 
 36243, 15:39:36, -1835, -646, -10136, 2113, -1021, -379 
 36245, 15:39:36, -1698, -132, -10537, 2111, -1067, -506 
 36246, 15:39:36, -1643, 183, -10457, 2158, -1069, -556 
 36247, 15:39:36, -1588, 487, -10358, 2211, -1070, -579 
 36248, 15:39:36, -1730, 841, -10296, 2249, -1068, -568 
 36250, 15:39:36, -1771, 1269, -10067, 2258, -1101, -456 
 36251, 15:39:36, -1844, 1523, -9994, 2242, -1142, -360 
 36252, 15:39:36, -1425, 2004, -9875, 2217, -1243, -239 
 36253, 15:39:36, -956, 2657, -9947, 2180, -1270, -100 
 36254, 15:39:36, -879, 3368, -9860, 2143, -1232, 67 
 36255, 15:39:36, -550, 4268, -9632, 2110, -1208, 270 
 36256, 15:39:36, -130, 5147, -9332, 2026, -1144, 511 
 36257, 15:39:36, 138, 5874, -9058, 1874, -1070, 761 
 36258, 15:39:36, 842, 6568, -8788, 1682, -1029, 969 
 36261, 15:39:36, 2839, 9113, -8021, 951, -619, 1084 
 36262, 15:39:36, 3559, 9970, -7827, 645, -415, 948 
 36264, 15:39:36, 2675, 11488, -7602, -36, 89, 562 
 36265, 15:39:36, 2636, 11574, -7578, -411, 222, 368 
 36266, 15:39:36, 2887, 11281, -7637, -766, 341, 142 
 36272, 15:39:36, -349, 3971, -9417, -2055, 2640, 276 
 36274, 15:39:36, -816, -1185, -10212, -2308, 572, -325 
 36275, 15:39:36, 35, -375, -9624, -2422, 292, -341 
 36278, 15:39:36, -1250, 615, -9792, -1988, 630, 516 
 36280, 15:39:36, -2103, 810, -8545, -1363, 277, 93 
 36281, 15:39:36, -1361, 542, -8518, -1106, 385, -61 
 36285, 15:39:36, -988, 528, -8094, -208, 317, -44 
 36286, 15:39:36, -1086, 613, -8018, -153, 298, -34 
 36287, 15:39:36, -1030, 471, -8015, -135, 288, -25 
 36288, 15:39:36, -952, 500, -8051, -122, 242, -27 
 36289, 15:39:36, -946, 487, -8035, -103, 178, -29 
 36290, 15:39:36, -982, 507, -7997, -80, 119, -30 
 36291, 15:39:36, -1067, 516, -7989, -61, 83, -23 
 36292, 15:39:36, -1089, 532, -7972, -59, 95, -10 
 36295, 15:39:36, -1087, 570, -7934, -75, 202, 19 
 36296, 15:39:36, -801, 578, -8028, -73, 179, 12 
 36298, 15:39:36, -914, 653, -7975, -84, 113, 10 
 36299, 15:39:36, -894, 579, -7950, -92, 99, 15 
 36301, 15:39:36, -987, 508, -7902, -92, 76, 15 
 36302, 15:39:36, -927, 580, -7901, -89, 72, 16 
