Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
24931, 15:45:59, 25701, 2573, -4950, 29472, 24948, 29810 
 9455, 15:45:59, -846, 626, -7936, -6, 1, -1 
 9457, 15:45:59, -851, 617, -7934, -5, 1, 0 
 9462, 15:45:59, -848, 642, -7933, -4, 2, -1 
 9463, 15:45:59, -858, 626, -7907, -5, 2, -1 
 9469, 15:45:59, -847, 612, -7940, -4, 3, 0 
 9470, 15:45:59, -847, 602, -7917, -5, 2, 0 
 9471, 15:45:59, -860, 626, -7930, -5, 3, -1 
 9472, 15:45:59, -848, 618, -7942, -6, 2, 0 
 9473, 15:45:59, -856, 612, -7933, -6, 2, -1 
 9478, 15:45:59, -856, 614, -7907, -4, 3, -1 
 9479, 15:45:59, -850, 619, -7910, -5, 2, -1 
 9481, 15:45:59, -836, 624, -7928, -5, 2, -1 
 9483, 15:45:59, -858, 624, -7926, -4, 2, 0 
 9488, 15:45:59, -850, 622, -7938, -5, 1, -3 
 9489, 15:45:59, -839, 626, -7919, -5, 1, -1 
 9491, 15:45:59, -848, 621, -7920, -5, 2, -1 
 9492, 15:45:59, -855, 614, -7913, -4, 1, -1 
 9493, 15:45:59, -844, 619, -7934, -5, 2, 1 
 9496, 15:45:59, -852, 626, -7912, -4, 2, 0 
 9498, 15:45:59, -850, 611, -7932, -4, 1, 0 
 9499, 15:45:59, -863, 626, -7922, -4, 2, 1 
 9500, 15:45:59, -865, 625, -7920, -4, 2, 0 
 9501, 15:45:59, -869, 619, -7927, -4, 0, 0 
 9503, 15:45:59, -851, 618, -7934, -6, 1, 0 
 9504, 15:45:59, -851, 629, -7936, -4, 2, 0 
 9505, 15:45:59, -868, 626, -7926, -6, 2, -1 
 9506, 15:45:59, -867, 619, -7906, -4, 1, 0 
 9508, 15:45:59, -852, 624, -7918, -6, 2, -2 
 9511, 15:45:59, -843, 629, -7913, -6, 2, -1 
 9512, 15:45:59, -869, 603, -7922, -6, 2, 0 
 9513, 15:45:59, -856, 621, -7948, -6, 2, 1 
 9514, 15:45:59, -858, 626, -7924, -5, 1, -1 
 9515, 15:45:59, -863, 632, -7905, -5, 2, -1 
 9517, 15:45:59, -846, 599, -7937, -6, 3, 0 
 9518, 15:45:59, -833, 611, -7939, -5, 4, 0 
 9519, 15:45:59, -849, 634, -7920, -6, 3, -1 
 9521, 15:45:59, -843, 603, -7939, -7, 3, 1 
 9522, 15:45:59, -859, 618, -7913, -5, 2, -1 
 9523, 15:45:59, -850, 629, -7908, -7, 3, -1 
 9524, 15:45:59, -847, 617, -7921, -8, 3, 0 
 9528, 15:45:59, -846, 617, -7905, -9, 3, -1 
 9530, 15:45:59, -862, 615, -7927, -8, 3, 1 
 9531, 15:46:00, -861, 616, -7933, -8, 3, 0 
 9533, 15:46:00, -855, 640, -7911, -7, 2, -1 
 9535, 15:46:00, -859, 629, -7924, -7, 1, 0 
 9536, 15:46:00, -851, 611, -7929, -7, 0, 1 
 9537, 15:46:00, -844, 616, -7936, -8, 2, 1 
 9539, 15:46:00, -849, 613, -7920, -10, 1, -1 
 9542, 15:46:00, -871, 623, -7922, -9, 2, 0 
 9546, 15:46:00, -855, 623, -7926, -7, 3, 0 
 9549, 15:46:00, -831, 633, -7930, -6, 2, -1 
 9550, 15:46:00, -848, 631, -7943, -7, 2, 0 
 9555, 15:46:00, -849, 624, -7917, -7, 2, 0 
 9556, 15:46:00, -840, 609, -7939, -6, 2, -1 
 9559, 15:46:00, -838, 623, -7926, -6, 1, -1 
 9560, 15:46:00, -850, 623, -7908, -5, 2, -2 
 9562, 15:46:00, -834, 621, -7927, -6, 2, 0 
 9563, 15:46:00, -858, 610, -7916, -5, 2, -1 
 9564, 15:46:00, -849, 620, -7931, -6, 1, 0 
