Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
24931, 15:52:51, 25701, 2573, 19522, 29472, 24948, 29810 
 507, 15:53:02, -1664, -185, 8398, -8, 6, 8 
 508, 15:53:02, -1649, -193, 8392, -8, 6, 7 
 509, 15:53:02, -1658, -204, 8410, -8, 7, 8 
 510, 15:53:02, -1658, -197, 8392, -7, 7, 8 
 511, 15:53:02, -1658, -201, 8401, -7, 7, 8 
 515, 15:53:02, -1639, -197, 8410, -7, 6, 8 
 516, 15:53:03, -1656, -186, 8389, -8, 6, 9 
 517, 15:53:03, -1665, -196, 8389, -8, 8, 9 
 521, 15:53:03, -1648, -182, 8404, -8, 6, 9 
 522, 15:53:03, -1638, -177, 8416, -9, 6, 9 
 523, 15:53:03, -1659, -200, 8404, -8, 6, 7 
 524, 15:53:03, -1649, -205, 8401, -8, 7, 9 
 525, 15:53:03, -1642, -188, 8394, -7, 7, 8 
 528, 15:53:03, -1658, -199, 8405, -9, 7, 8 
 529, 15:53:03, -1653, -176, 8416, -8, 6, 7 
 530, 15:53:03, -1642, -184, 8404, -7, 6, 8 
 531, 15:53:03, -1646, -200, 8399, -9, 7, 8 
 532, 15:53:03, -1659, -192, 8416, -9, 6, 8 
 533, 15:53:03, -1652, -203, 8391, -8, 7, 8 
 534, 15:53:03, -1653, -200, 8389, -8, 8, 8 
 535, 15:53:03, -1659, -195, 8396, -9, 7, 7 
 536, 15:53:03, -1663, -187, 8395, -9, 7, 8 
 537, 15:53:03, -1661, -208, 8396, -8, 7, 8 
 538, 15:53:03, -1655, -202, 8404, -9, 8, 7 
 539, 15:53:03, -1651, -203, 8417, -8, 9, 7 
 541, 15:53:03, -1661, -195, 8418, -8, 7, 7 
 543, 15:53:03, -1658, -200, 8413, -8, 7, 8 
 547, 15:53:03, -1652, -196, 8403, -9, 8, 7 
 548, 15:53:03, -1671, -196, 8377, -8, 7, 9 
 549, 15:53:03, -1649, -187, 8382, -9, 7, 9 
 550, 15:53:03, -1648, -216, 8411, -8, 8, 7 
 551, 15:53:03, -1654, -209, 8397, -8, 8, 9 
 552, 15:53:03, -1665, -196, 8410, -8, 9, 8 
 553, 15:53:03, -1655, -193, 8402, -9, 7, 9 
 555, 15:53:03, -1656, -196, 8413, -8, 8, 7 
 556, 15:53:03, -1656, -196, 8413, -8, 8, 7 
 557, 15:53:03, -1661, -204, 8400, -8, 7, 7 
 558, 15:53:03, -1643, -207, 8400, -8, 7, 9 
 559, 15:53:03, -1642, -194, 8389, -8, 8, 10 
 560, 15:53:03, -1661, -183, 8415, -9, 8, 8 
 562, 15:53:03, -1662, -191, 8393, -8, 8, 8 
 563, 15:53:03, -1653, -194, 8406, -9, 8, 8 
 564, 15:53:03, -1636, -201, 8408, -8, 8, 8 
 565, 15:53:03, -1647, -194, 8410, -9, 7, 9 
 566, 15:53:03, -1666, -192, 8412, -8, 8, 8 
 571, 15:53:03, -1642, -191, 8411, -8, 7, 7 
 572, 15:53:03, -1648, -184, 8408, -7, 7, 8 
 573, 15:53:03, -1645, -186, 8413, -8, 7, 9 
 574, 15:53:03, -1656, -188, 8406, -8, 7, 9 
 575, 15:53:03, -1661, -193, 8395, -8, 6, 9 
 576, 15:53:03, -1650, -200, 8404, -7, 7, 8 
 577, 15:53:03, -1662, -177, 8386, -7, 7, 8 
 578, 15:53:03, -1663, -192, 8408, -9, 7, 9 
 579, 15:53:03, -1653, -199, 8411, -10, 8, 7 
 581, 15:53:03, -1646, -192, 8414, -8, 8, 7 
 582, 15:53:03, -1655, -200, 8382, -8, 8, 7 
 584, 15:53:03, -1654, -212, 8399, -7, 8, 10 
 585, 15:53:03, -1642, -217, 8424, -8, 7, 8 
 586, 15:53:03, -1658, -194, 8403, -8, 7, 7 
 587, 15:53:03, -1665, -201, 8413, -9, 9, 7 
 588, 15:53:03, -1646, -204, 8401, -9, 9, 8 
 589, 15:53:03, -1652, -196, 8398, -9, 9, 7 
 590, 15:53:03, -1650, -183, 8397, -10, 9, 7 
 591, 15:53:03, -1661, -189, 8399, -8, 7, 8 
 593, 15:53:03, -1659, -193, 8416, -8, 8, 7 
 594, 15:53:03, -1650, -186, 8408, -9, 8, 9 
 597, 15:53:03, -1654, -185, 8399, -9, 8, 8 
 598, 15:53:03, -1665, -191, 8408, -9, 7, 7 
 599, 15:53:03, -1664, -197, 8401, -8, 9, 8 
 600, 15:53:03, -1654, -198, 8396, -8, 8, 8 
 601, 15:53:03, -1654, -201, 8402, -9, 9, 8 
 602, 15:53:03, -1664, -186, 8417, -9, 8, 9 
 605, 15:53:03, -1661, -190, 8407, -9, 8, 8 
 606, 15:53:03, -1651, -191, 8399, -9, 8, 8 
 607, 15:53:03, -1657, -200, 8397, -8, 9, 8 
 609, 15:53:03, -1662, -204, 8384, -8, 8, 9 
 610, 15:53:03, -1653, -199, 8399, -10, 8, 9 
 611, 15:53:03, -1653, -202, 8392, -10, 10, 8 
 613, 15:53:03, -1656, -184, 8397, -8, 9, 6 
 614, 15:53:03, -1660, -185, 8384, -9, 10, 8 
 615, 15:53:03, -1663, -195, 8394, -9, 8, 9 
 616, 15:53:04, -1648, -197, 8389, -9, 7, 8 
 617, 15:53:04, -1654, -197, 8412, -9, 9, 8 
 618, 15:53:04, -1642, -187, 8414, -8, 10, 8 
 619, 15:53:04, -1641, -204, 8405, -9, 9, 8 
 620, 15:53:04, -1652, -191, 8381, -9, 10, 8 
 621, 15:53:04, -1652, -191, 8381, -9, 10, 8 
 622, 15:53:04, -1652, -190, 8394, -9, 10, 8 
 623, 15:53:04, -1661, -192, 8407, -9, 9, 8 
 624, 15:53:04, -1650, -195, 8388, -8, 11, 7 
 625, 15:53:04, -1657, -197, 8396, -8, 9, 8 
 626, 15:53:04, -1655, -201, 8389, -9, 8, 7 
 627, 15:53:04, -1652, -192, 8396, -8, 8, 8 
 628, 15:53:04, -1682, -210, 8393, -9, 7, 8 
 629, 15:53:04, -1661, -213, 8399, -9, 5, 8 
 632, 15:53:04, -1654, -186, 8407, -8, 8, 8 
 633, 15:53:04, -1650, -199, 8391, -9, 8, 6 
 634, 15:53:04, -1665, -192, 8424, -9, 8, 8 
 636, 15:53:04, -1653, -196, 8405, -10, 7, 8 
 638, 15:53:04, -1644, -207, 8407, -9, 7, 8 
 640, 15:53:04, -1654, -191, 8420, -9, 8, 9 
 642, 15:53:04, -1658, -197, 8406, -9, 7, 9 
 643, 15:53:04, -1659, -187, 8403, -8, 9, 9 
 644, 15:53:04, -1656, -200, 8396, -10, 9, 9 
 648, 15:53:04, -1648, -189, 8401, -8, 9, 8 
 650, 15:53:04, -1666, -185, 8405, -9, 7, 8 
 651, 15:53:04, -1661, -196, 8392, -8, 7, 10 
 652, 15:53:04, -1655, -194, 8400, -10, 8, 9 
 653, 15:53:04, -1673, -192, 8406, -10, 11, 5 
 655, 15:53:04, -1663, -202, 8406, -8, 9, 8 
 656, 15:53:04, -1663, -204, 8424, -9, 9, 8 
 657, 15:53:04, -1653, -194, 8412, -9, 10, 8 
 659, 15:53:04, -1673, -190, 8409, -8, 8, 7 
 660, 15:53:04, -1665, -188, 8405, -9, 8, 7 
 661, 15:53:04, -1673, -186, 8409, -9, 9, 7 
 662, 15:53:04, -1669, -189, 8402, -8, 10, 8 
 663, 15:53:04, -1658, -201, 8410, -8, 9, 8 
 664, 15:53:04, -1666, -197, 8395, -8, 9, 7 
 665, 15:53:04, -1656, -187, 8399, -8, 8, 7 
 667, 15:53:04, -1661, -187, 8417, -8, 8, 9 
 668, 15:53:04, -1649, -192, 8398, -7, 9, 8 
 669, 15:53:04, -1658, -199, 8408, -8, 9, 7 
 670, 15:53:04, -1664, -187, 8410, -10, 9, 8 
 671, 15:53:04, -1671, -195, 8403, -9, 8, 7 
 672, 15:53:04, -1659, -197, 8428, -8, 7, 7 
 673, 15:53:04, -1673, -192, 8418, -8, 6, 7 
 674, 15:53:04, -1648, -191, 8405, -9, 4, 7 
 676, 15:53:04, -1653, -198, 8391, -9, 9, 8 
 680, 15:53:04, -1651, -205, 8406, -10, 7, 10 
 681, 15:53:04, -1662, -197, 8406, -8, 8, 8 
 682, 15:53:04, -1663, -185, 8401, -9, 8, 8 
 683, 15:53:04, -1663, -189, 8419, -8, 8, 8 
 684, 15:53:04, -1673, -211, 8394, -10, 8, 9 
 685, 15:53:04, -1655, -206, 8396, -8, 8, 8 
 686, 15:53:04, -1655, -206, 8396, -8, 8, 8 
 687, 15:53:04, -1648, -186, 8392, -8, 9, 8 
 688, 15:53:04, -1673, -203, 8397, -8, 10, 8 
 689, 15:53:04, -1661, -202, 8411, -8, 9, 8 
 690, 15:53:04, -1658, -197, 8401, -10, 8, 8 
 693, 15:53:04, -1651, -195, 8406, -9, 6, 8 
 694, 15:53:04, -1666, -193, 8405, -9, 8, 8 
 695, 15:53:04, -1662, -218, 8389, -8, 8, 9 
 696, 15:53:04, -1667, -214, 8402, -10, 7, 8 
 698, 15:53:04, -1661, -201, 8404, -8, 7, 8 
 701, 15:53:04, -1668, -187, 8403, -7, 8, 9 
 703, 15:53:04, -1664, -209, 8405, -8, 8, 7 
 704, 15:53:04, -1654, -205, 8415, -7, 8, 7 
 705, 15:53:04, -1663, -175, 8414, -9, 5, 8 
 706, 15:53:04, -1678, -195, 8412, -10, 6, 8 
 707, 15:53:04, -1673, -205, 8405, -10, 7, 7 
 708, 15:53:04, -1660, -199, 8418, -9, 9, 8 
 709, 15:53:04, -1657, -202, 8398, -9, 8, 8 
 710, 15:53:04, -1648, -188, 8407, -9, 8, 8 
