Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
17740, 15:45:38, 24404, 20291, 20046, 16711, 24400, 22085 
 24931, 15:45:59, 25701, 2573, -10838, 29472, 24948, 29810 
 726, 15:45:59, -1574, -9, 8413, -10, 8, 9 
 727, 15:45:59, -1590, -17, 8418, -10, 9, 8 
 728, 15:45:59, -1575, -18, 8419, -8, 8, 8 
 729, 15:45:59, -1585, -16, 8416, -9, 8, 8 
 730, 15:45:59, -1581, -3, 8403, -7, 8, 7 
 731, 15:45:59, -1591, -14, 8411, -7, 8, 8 
 733, 15:45:59, -1589, -24, 8427, -9, 8, 8 
 734, 15:45:59, -1581, -26, 8415, -10, 7, 8 
 735, 15:45:59, -1581, -9, 8418, -9, 8, 8 
 736, 15:45:59, -1579, -22, 8420, -8, 8, 9 
 737, 15:45:59, -1591, -26, 8394, -9, 8, 9 
 738, 15:45:59, -1585, -14, 8415, -10, 8, 7 
 741, 15:45:59, -1585, -17, 8402, -8, 9, 7 
 742, 15:45:59, -1582, -8, 8416, -8, 8, 8 
 743, 15:45:59, -1576, -11, 8420, -8, 7, 8 
 744, 15:45:59, -1584, 0, 8420, -7, 7, 8 
 745, 15:45:59, -1574, -15, 8410, -8, 7, 8 
 746, 15:45:59, -1583, -11, 8430, -9, 7, 8 
 747, 15:45:59, -1585, -11, 8407, -9, 8, 7 
 749, 15:45:59, -1581, -26, 8407, -9, 8, 7 
 750, 15:45:59, -1575, -20, 8389, -9, 9, 7 
 752, 15:45:59, -1574, -14, 8410, -9, 7, 9 
 753, 15:45:59, -1569, -3, 8396, -9, 6, 9 
 754, 15:45:59, -1571, -11, 8423, -8, 9, 8 
 755, 15:45:59, -1575, -12, 8415, -8, 8, 9 
 756, 15:45:59, -1584, -19, 8416, -10, 7, 9 
 757, 15:45:59, -1599, -30, 8420, -9, 7, 9 
 758, 15:45:59, -1588, -22, 8384, -10, 7, 9 
 759, 15:45:59, -1578, -22, 8405, -8, 8, 8 
 760, 15:45:59, -1569, -13, 8405, -8, 8, 7 
 761, 15:45:59, -1587, -8, 8407, -10, 8, 9 
 762, 15:45:59, -1573, -7, 8396, -10, 7, 10 
 763, 15:45:59, -1569, -13, 8406, -10, 8, 9 
 764, 15:45:59, -1583, -11, 8426, -8, 8, 7 
 765, 15:45:59, -1576, -15, 8420, -8, 7, 8 
 767, 15:45:59, -1569, -18, 8425, -10, 9, 10 
 768, 15:45:59, -1568, -17, 8404, -9, 8, 8 
 769, 15:45:59, -1576, -31, 8424, -8, 8, 8 
 770, 15:45:59, -1580, -30, 8407, -10, 8, 10 
 771, 15:45:59, -1575, -26, 8403, -9, 9, 9 
 772, 15:45:59, -1578, -17, 8421, -9, 7, 8 
 773, 15:45:59, -1575, -22, 8399, -9, 7, 8 
 774, 15:45:59, -1579, -19, 8403, -10, 8, 8 
 775, 15:45:59, -1579, -13, 8405, -9, 9, 9 
 776, 15:45:59, -1572, -15, 8434, -9, 7, 7 
 777, 15:45:59, -1560, -13, 8413, -9, 7, 8 
 778, 15:45:59, -1572, -16, 8402, -9, 8, 8 
 779, 15:45:59, -1578, -14, 8422, -7, 9, 8 
 780, 15:45:59, -1582, -21, 8421, -9, 8, 7 
 781, 15:45:59, -1590, -25, 8404, -8, 8, 9 
 782, 15:45:59, -1572, -20, 8414, -7, 9, 8 
 783, 15:45:59, -1568, -13, 8414, -7, 8, 8 
 784, 15:45:59, -1584, -3, 8404, -8, 8, 9 
 785, 15:45:59, -1584, -15, 8400, -8, 7, 9 
 786, 15:45:59, -1581, -26, 8419, -7, 7, 6 
 787, 15:45:59, -1576, -15, 8425, -8, 8, 7 
 788, 15:45:59, -1575, -18, 8411, -9, 8, 9 
 790, 15:45:59, -1585, -29, 8421, -8, 8, 9 
 791, 15:45:59, -1585, -29, 8421, -8, 8, 9 
 792, 15:45:59, -1578, -19, 8416, -8, 7, 8 
 793, 15:45:59, -1582, -10, 8409, -8, 9, 8 
 794, 15:45:59, -1573, -31, 8410, -11, 7, 8 
 795, 15:45:59, -1563, -22, 8417, -10, 7, 9 
 796, 15:45:59, -1564, -4, 8419, -9, 7, 8 
 797, 15:45:59, -1604, -2, 8420, -8, 8, 7 
 799, 15:45:59, -1570, -26, 8419, -9, 8, 9 
 801, 15:45:59, -1580, -9, 8397, -8, 8, 8 
 803, 15:45:59, -1575, -17, 8421, -7, 7, 8 
 804, 15:45:59, -1564, -33, 8414, -8, 7, 9 
 805, 15:45:59, -1589, -25, 8407, -9, 9, 9 
 806, 15:46:00, -1583, -7, 8421, -9, 9, 8 
 807, 15:46:00, -1565, -7, 8430, -8, 9, 9 
 808, 15:46:00, -1596, -1, 8408, -8, 8, 9 
 809, 15:46:00, -1580, -18, 8412, -8, 7, 9 
 810, 15:46:00, -1583, -15, 8410, -8, 8, 9 
 811, 15:46:00, -1575, -28, 8398, -9, 7, 7 
 812, 15:46:00, -1575, -24, 8405, -8, 8, 7 
 816, 15:46:00, -1574, -7, 8426, -8, 7, 9 
 817, 15:46:00, -1575, -6, 8410, -8, 7, 8 
 818, 15:46:00, -1565, -3, 8415, -8, 8, 8 
 820, 15:46:00, -1579, -12, 8396, -9, 8, 9 
 822, 15:46:00, -1586, -10, 8407, -10, 9, 9 
 823, 15:46:00, -1576, -20, 8410, -8, 9, 8 
 824, 15:46:00, -1576, -23, 8424, -9, 7, 7 
 825, 15:46:00, -1590, -11, 8416, -9, 8, 8 
 826, 15:46:00, -1594, -14, 8427, -8, 8, 9 
 828, 15:46:00, -1574, -18, 8419, -9, 8, 8 
 829, 15:46:00, -1566, -9, 8413, -9, 8, 9 
 830, 15:46:00, -1562, -18, 8405, -10, 7, 7 
 831, 15:46:00, -1582, -20, 8415, -8, 8, 7 
 832, 15:46:00, -1583, -24, 8408, -8, 8, 7 
 834, 15:46:00, -1590, -6, 8417, -9, 9, 8 
 835, 15:46:00, -1577, -7, 8411, -9, 9, 9 
 836, 15:46:00, -1589, -10, 8394, -9, 8, 8 
 837, 15:46:00, -1584, -14, 8409, -9, 10, 9 
 838, 15:46:00, -1582, -24, 8417, -10, 7, 8 
 840, 15:46:00, -1572, -15, 8387, -10, 8, 8 
 841, 15:46:00, -1589, -22, 8409, -9, 8, 8 
 842, 15:46:00, -1583, -25, 8413, -8, 9, 8 
 843, 15:46:00, -1581, -11, 8409, -8, 9, 8 
 844, 15:46:00, -1594, -15, 8411, -8, 8, 8 
 845, 15:46:00, -1591, -14, 8411, -10, 8, 8 
 846, 15:46:00, -1577, -13, 8409, -10, 8, 8 
 847, 15:46:00, -1568, -23, 8423, -9, 9, 7 
 849, 15:46:00, -1580, -28, 8394, -10, 8, 7 
 852, 15:46:00, -1582, -24, 8424, -10, 8, 9 
 853, 15:46:00, -1576, -33, 8411, -10, 9, 9 
 854, 15:46:00, -1573, -8, 8414, -8, 8, 8 
 857, 15:46:00, -1578, -28, 8419, -9, 8, 9 
 858, 15:46:00, -1588, -28, 8410, -8, 9, 9 
 859, 15:46:00, -1591, -28, 8405, -8, 9, 8 
 860, 15:46:00, -1592, -22, 8417, -8, 9, 9 
 861, 15:46:00, -1572, -12, 8398, -9, 10, 8 
 862, 15:46:00, -1581, -27, 8407, -8, 8, 9 
 863, 15:46:00, -1592, -13, 8418, -8, 8, 9 
 864, 15:46:00, -1588, -15, 8427, -8, 10, 8 
 865, 15:46:00, -1588, -17, 8421, -7, 9, 9 
 866, 15:46:00, -1584, -5, 8407, -8, 7, 8 
 867, 15:46:00, -1575, -23, 8426, -8, 8, 8 
 869, 15:46:00, -1584, -21, 8405, -9, 6, 8 
 871, 15:46:00, -1584, -8, 8420, -7, 7, 6 
 872, 15:46:00, -1587, -19, 8430, -7, 8, 7 
 874, 15:46:00, -1579, -25, 8397, -7, 8, 6 
 875, 15:46:00, -1584, -11, 8408, -7, 6, 8 
 877, 15:46:00, -1593, -27, 8409, -10, 6, 8 
 878, 15:46:00, -1574, -5, 8434, -11, 6, 9 
 879, 15:46:00, -1580, -16, 8405, -11, 7, 8 
 880, 15:46:00, -1585, -23, 8406, -10, 7, 7 
 882, 15:46:00, -1566, -11, 8432, -11, 7, 8 
 883, 15:46:00, -1587, -28, 8413, -11, 9, 8 
 884, 15:46:00, -1598, -32, 8409, -11, 8, 8 
 886, 15:46:00, -1583, -15, 8418, -11, 8, 8 
 887, 15:46:00, -1583, -15, 8431, -11, 8, 8 
 888, 15:46:00, -1586, -33, 8389, -10, 7, 9 
 892, 15:46:00, -1582, -17, 8424, -9, 6, 7 
 894, 15:46:00, -1572, -8, 8402, -8, 7, 8 
 895, 15:46:00, -1576, -15, 8403, -8, 7, 8 
 896, 15:46:00, -1572, -20, 8407, -8, 7, 9 
 897, 15:46:00, -1586, -31, 8404, -10, 8, 7 
 898, 15:46:00, -1588, -26, 8422, -10, 9, 7 
 899, 15:46:00, -1582, -13, 8405, -11, 7, 7 
 900, 15:46:00, -1578, -29, 8419, -11, 7, 8 
 901, 15:46:00, -1592, -21, 8414, -10, 8, 7 
 902, 15:46:00, -1595, -11, 8402, -11, 9, 6 
 903, 15:46:00, -1587, -10, 8400, -10, 7, 7 
 904, 15:46:00, -1580, -22, 8416, -10, 5, 8 
 905, 15:46:00, -1583, -23, 8411, -9, 7, 8 
 906, 15:46:01, -1571, -17, 8414, -9, 7, 9 
