Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
 24632, 15:55:21, -788, 636, -7907, -9, 4, 1 
 24633, 15:55:21, -777, 637, -7907, -9, 4, -1 
 24634, 15:55:21, -780, 643, -7901, -10, 3, 0 
 24636, 15:55:21, -777, 644, -7903, -12, 6, 1 
 24637, 15:55:21, -771, 651, -7922, -11, 7, 2 
 24639, 15:55:21, -794, 642, -7919, -12, 4, 2 
 24641, 15:55:21, -800, 634, -7907, -8, 3, 2 
 24642, 15:55:21, -782, 631, -7913, -10, 4, 0 
 24643, 15:55:21, -790, 649, -7897, -10, 4, 1 
 24644, 15:55:21, -785, 654, -7908, -9, 3, 1 
 24646, 15:55:21, -784, 649, -7910, -9, 4, 0 
 24648, 15:55:21, -773, 649, -7896, -9, 4, 1 
 24649, 15:55:21, -780, 642, -7891, -6, 4, 1 
 24650, 15:55:21, -786, 645, -7901, -6, 2, 0 
 24652, 15:55:21, -787, 653, -7907, -6, 1, 0 
 24661, 15:55:21, -801, 645, -7912, -8, 2, 1 
 24663, 15:55:21, -786, 660, -7908, -8, 4, -1 
 24665, 15:55:21, -775, 638, -7909, -6, 2, 1 
 24666, 15:55:21, -779, 650, -7907, -8, 1, 1 
 24667, 15:55:21, -771, 662, -7918, -6, 2, 0 
 24669, 15:55:21, -786, 659, -7920, -7, 1, 2 
 24670, 15:55:21, -793, 652, -7887, -6, 2, -1 
 24671, 15:55:21, -778, 641, -7895, -7, 2, 0 
 24672, 15:55:21, -779, 653, -7908, -6, 3, 1 
 24673, 15:55:21, -777, 655, -7912, -7, 3, 0 
 24674, 15:55:21, -774, 658, -7894, -8, 2, 1 
 24675, 15:55:21, -780, 655, -7897, -8, 2, 0 
 24676, 15:55:21, -790, 637, -7906, -7, 3, 0 
 24677, 15:55:21, -783, 645, -7917, -5, 2, 1 
 24678, 15:55:21, -793, 651, -7893, -6, 2, 0 
 24679, 15:55:21, -768, 640, -7910, -6, 2, 0 
 24682, 15:55:21, -780, 648, -7890, -6, 3, 0 
 24684, 15:55:21, -781, 654, -7913, -6, 2, 0 
 24685, 15:55:21, -787, 661, -7931, -7, 2, 1 
 24686, 15:55:21, -798, 661, -7912, -5, 2, 2 
 24687, 15:55:21, -779, 636, -7891, -5, 2, 0 
 24688, 15:55:21, -778, 652, -7881, -6, 3, 0 
 24691, 15:55:21, -778, 649, -7901, -3, 2, 0 
 24692, 15:55:21, -776, 657, -7880, -5, 1, 1 
 24693, 15:55:21, -779, 662, -7892, -4, 1, 0 
 24694, 15:55:21, -787, 651, -7904, -5, 0, 0 
 24697, 15:55:21, -781, 643, -7901, -5, 0, -1 
 24699, 15:55:21, -795, 642, -7897, -4, 1, 1 
 24701, 15:55:21, -776, 652, -7908, -5, 0, 0 
 24703, 15:55:21, -793, 646, -7913, -5, 0, 0 
 24704, 15:55:21, -782, 640, -7895, -5, 0, 0 
 24712, 15:55:22, -779, 651, -7913, -7, 2, 0 
 24716, 15:55:22, -790, 638, -7886, -6, 3, 0 
 24717, 15:55:22, -767, 649, -7893, -6, 2, -1 
 24718, 15:55:22, -775, 653, -7918, -6, 1, 0 
 24719, 15:55:22, -789, 639, -7916, -6, 1, 0 
 24721, 15:55:22, -779, 660, -7918, -6, 0, -2 
 24723, 15:55:22, -790, 652, -7904, -4, 2, 1 
 24726, 15:55:22, -801, 647, -7908, -5, 1, -1 
 24728, 15:55:22, -790, 649, -7899, -5, 0, -1 
 24729, 15:55:22, -778, 671, -7908, -4, 1, -1 
 24730, 15:55:22, -784, 651, -7888, -5, 2, -1 
 24731, 15:55:22, -790, 644, -7890, -4, 1, -1 
 24732, 15:55:22, -775, 639, -7903, -4, 1, -1 
 24736, 15:55:22, -785, 652, -7895, -5, 0, 0 
 24737, 15:55:22, -784, 651, -7909, -4, 1, 0 
 24738, 15:55:22, -792, 649, -7900, -4, -1, 0 
 24739, 15:55:22, -789, 652, -7895, -4, 0, 0 
 24741, 15:55:22, -792, 644, -7903, -4, 0, 0 
 24742, 15:55:22, -776, 637, -7898, -4, 1, 0 
 24743, 15:55:22, -792, 629, -7894, -3, 1, 0 
 24744, 15:55:22, -783, 645, -7903, -3, 0, 0 
 24748, 15:55:22, -794, 651, -7903, -2, -1, 0 
 24749, 15:55:22, -783, 625, -7903, 0, -2, -2 
 24755, 15:55:22, -789, 646, -7915, -1, 0, -1 
 24756, 15:55:22, -784, 647, -7891, 1, -1, 0 
 24757, 15:55:22, -797, 652, -7915, 0, -1, 0 
 24759, 15:55:22, -782, 654, -7921, 0, -2, -1 
 24760, 15:55:22, -809, 648, -7901, -1, -2, -1 
 24761, 15:55:22, -788, 623, -7900, 2, -2, -1 
 24762, 15:55:22, -785, 626, -7908, 1, -1, -1 
 24763, 15:55:22, -787, 651, -7911, -1, -1, 1 
 24764, 15:55:22, -794, 644, -7898, -2, 1, 0 
 24765, 15:55:22, -794, 634, -7912, -3, -1, 0 
 24766, 15:55:22, -794, 634, -7912, -3, -1, 0 
 24767, 15:55:22, -797, 643, -7901, -5, 0, 0 
 24769, 15:55:22, -795, 639, -7909, -4, 2, 0 
 24770, 15:55:22, -785, 640, -7918, -5, 1, 0 
 24771, 15:55:22, -782, 640, -7910, -5, 1, 0 
 24773, 15:55:22, -801, 643, -7916, -4, 1, 1 
 24774, 15:55:22, -790, 631, -7901, -6, 1, -1 
 24775, 15:55:22, -785, 628, -7907, -5, 1, -1 
 24776, 15:55:22, -787, 646, -7907, -3, 1, 0 
 24777, 15:55:22, -795, 639, -7902, -4, 2, 0 
 24778, 15:55:22, -778, 632, -7897, -3, 3, 1 
 24779, 15:55:22, -793, 636, -7902, -3, 0, 0 
 24780, 15:55:22, -791, 630, -7927, -2, 1, 1 
 24783, 15:55:22, -780, 630, -7897, -2, 1, 0 
 24785, 15:55:22, -796, 632, -7910, -1, 1, 0 
 24787, 15:55:22, -813, 633, -7897, -2, 1, 0 
 24789, 15:55:22, -767, 641, -7889, -4, 2, 0 
 24791, 15:55:22, -789, 633, -7905, -4, 2, 1 
 24792, 15:55:22, -798, 635, -7922, -4, 0, 0 
 24794, 15:55:22, -796, 625, -7896, -6, 1, 1 
 24795, 15:55:22, -782, 638, -7914, -6, 3, 1 
 24796, 15:55:22, -797, 633, -7915, -6, 2, 0 
 24798, 15:55:22, -794, 633, -7892, -6, 3, 1 
 24799, 15:55:22, -786, 630, -7897, -6, 3, 0 
 24800, 15:55:22, -783, 624, -7895, -6, 3, 0 
 24801, 15:55:22, -792, 625, -7905, -6, 2, -1 
 24802, 15:55:22, -787, 628, -7901, -6, 2, 0 
 24803, 15:55:22, -796, 641, -7886, -6, 1, 2 
 24804, 15:55:22, -800, 646, -7898, -6, 1, 0 
 24806, 15:55:22, -794, 628, -7915, -4, 2, 0 
 24808, 15:55:22, -798, 625, -7903, -8, 1, 0 
 24812, 15:55:23, -800, 632, -7905, -7, 3, 1 
 24813, 15:55:23, -785, 631, -7885, -9, 3, 1 
 24814, 15:55:23, -780, 628, -7894, -8, 3, 0 
 24815, 15:55:23, -814, 620, -7901, -7, 3, -1 
 24816, 15:55:23, -793, 621, -7907, -7, 4, -1 
 24817, 15:55:23, -787, 639, -7909, -7, 3, 0 
 24818, 15:55:23, -787, 628, -7915, -7, 3, 0 
 24820, 15:55:23, -799, 634, -7896, -4, 3, 1 
 24822, 15:55:23, -779, 628, -7909, -5, 2, 0 
 24823, 15:55:23, -783, 612, -7905, -5, 0, 0 
 24824, 15:55:23, -792, 635, -7906, -5, 1, 0 
 24825, 15:55:23, -788, 631, -7909, -5, 1, -1 
 24828, 15:55:23, -780, 631, -7909, -4, 0, -1 
 24829, 15:55:23, -782, 629, -7906, -3, 0, -1 
 24830, 15:55:23, -780, 639, -7906, -4, 0, 0 
 24831, 15:55:23, -784, 632, -7902, -3, 1, 0 
 24833, 15:55:23, -793, 642, -7896, -3, 0, -1 
 24834, 15:55:23, -792, 635, -7906, -3, 0, 0 
 24835, 15:55:23, -796, 634, -7927, -3, -1, 0 
 24837, 15:55:23, -797, 633, -7893, -3, 1, 0 
 24838, 15:55:23, -787, 630, -7902, 0, 2, 0 
 24840, 15:55:23, -786, 636, -7917, -4, 1, 0 
 24841, 15:55:23, -781, 628, -7893, -3, -1, -1 
 24844, 15:55:23, -795, 612, -7919, -4, 0, -1 
 24845, 15:55:23, -805, 617, -7907, -3, 2, 0 
 24847, 15:55:23, -789, 633, -7926, -5, 2, 0 
 24848, 15:55:23, -792, 620, -7916, -3, 1, -1 
 24850, 15:55:23, -783, 627, -7906, -3, 1, 1 
 24851, 15:55:23, -772, 635, -7900, -4, 0, 0 
 24852, 15:55:23, -801, 629, -7908, -4, 1, -1 
 24853, 15:55:23, -791, 615, -7899, -4, 2, 0 
 24854, 15:55:23, -792, 624, -7903, -3, 1, -1 
 24855, 15:55:23, -801, 630, -7921, -4, 0, -1 
 24856, 15:55:23, -797, 610, -7912, -3, 0, 1 
 24861, 15:55:23, -812, 632, -7911, -4, 1, -1 
 24862, 15:55:23, -804, 622, -7897, -3, 0, 0 
 24864, 15:55:23, -786, 638, -7922, -5, 0, 0 
 24865, 15:55:23, -798, 627, -7915, -4, 1, 0 
 24867, 15:55:23, -795, 648, -7920, -5, -1, -1 
 24869, 15:55:23, -806, 617, -7897, -6, 0, -1 
 24870, 15:55:23, -801, 620, -7888, -5, 1, 1 
 24873, 15:55:23, -793, 633, -7912, -6, 1, -1 
 24874, 15:55:23, -803, 612, -7908, -5, 1, -1 
 24875, 15:55:23, -786, 610, -7898, -5, 0, -1 
