Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
24931, 15:39:27, 25701, 2573, -32086, 29472, 24948, 29810 
 900, 15:39:27, -1709, -104, 8379, -8, 7, 8 
 901, 15:39:27, -1714, -92, 8386, -8, 6, 8 
 902, 15:39:27, -1705, -88, 8394, -8, 7, 8 
 907, 15:39:27, -1720, -97, 8380, -9, 8, 8 
 911, 15:39:27, -1703, -108, 8375, -9, 7, 7 
 912, 15:39:27, -1709, -90, 8372, -8, 7, 8 
 913, 15:39:27, -1719, -94, 8392, -8, 9, 7 
 916, 15:39:27, -1711, -108, 8388, -8, 8, 9 
 917, 15:39:27, -1713, -100, 8378, -8, 7, 8 
 918, 15:39:27, -1715, -98, 8377, -8, 7, 8 
 921, 15:39:27, -1710, -96, 8381, -9, 6, 9 
 922, 15:39:27, -1708, -93, 8372, -9, 7, 8 
 925, 15:39:27, -1705, -88, 8375, -8, 7, 8 
 926, 15:39:27, -1708, -99, 8384, -8, 7, 9 
 927, 15:39:27, -1700, -101, 8394, -7, 7, 8 
 931, 15:39:27, -1716, -101, 8380, -8, 6, 9 
 932, 15:39:27, -1703, -98, 8383, -7, 6, 10 
 935, 15:39:27, -1695, -94, 8390, -8, 8, 8 
 936, 15:39:27, -1700, -97, 8380, -8, 7, 8 
 937, 15:39:27, -1706, -94, 8394, -8, 7, 8 
 938, 15:39:27, -1711, -100, 8392, -6, 8, 9 
 939, 15:39:27, -1715, -99, 8373, -9, 9, 10 
 941, 15:39:28, -1703, -91, 8387, -7, 6, 10 
 942, 15:39:28, -1694, -91, 8392, -8, 7, 10 
 945, 15:39:28, -1714, -98, 8403, -8, 6, 9 
 946, 15:39:28, -1708, -81, 8395, -6, 6, 10 
 948, 15:39:28, -1725, -99, 8363, -8, 8, 8 
 950, 15:39:28, -1714, -93, 8393, -8, 7, 9 
 951, 15:39:28, -1717, -97, 8378, -8, 6, 9 
 952, 15:39:28, -1709, -85, 8386, -8, 6, 8 
 953, 15:39:28, -1702, -89, 8387, -8, 7, 8 
 956, 15:39:28, -1707, -98, 8396, -9, 8, 9 
 957, 15:39:28, -1705, -83, 8402, -8, 9, 7 
 958, 15:39:28, -1718, -107, 8380, -9, 8, 8 
 961, 15:39:28, -1703, -91, 8398, -9, 6, 8 
 964, 15:39:28, -1718, -106, 8380, -8, 7, 7 
 966, 15:39:28, -1695, -92, 8399, -6, 10, 6 
 968, 15:39:28, -1709, -95, 8376, -8, 8, 6 
 970, 15:39:28, -1703, -109, 8388, -8, 8, 8 
 974, 15:39:28, -1701, -108, 8385, -10, 8, 8 
 976, 15:39:28, -1716, -103, 8388, -9, 8, 7 
 978, 15:39:28, -1697, -94, 8393, -8, 9, 8 
 979, 15:39:28, -1699, -103, 8378, -10, 9, 8 
 982, 15:39:28, -1703, -95, 8375, -9, 8, 7 
 983, 15:39:28, -1698, -90, 8372, -9, 8, 8 
 986, 15:39:28, -1711, -101, 8386, -8, 8, 8 
 987, 15:39:28, -1718, -94, 8384, -8, 8, 8 
 988, 15:39:28, -1700, -87, 8378, -9, 9, 7 
 990, 15:39:28, -1709, -94, 8379, -8, 9, 7 
 991, 15:39:28, -1711, -89, 8388, -9, 8, 7 
 992, 15:39:28, -1697, -90, 8374, -10, 8, 9 
 995, 15:39:28, -1708, -93, 8398, -9, 9, 8 
 996, 15:39:28, -1707, -101, 8376, -10, 10, 8 
 997, 15:39:28, -1709, -100, 8392, -8, 10, 9 
 998, 15:39:28, -1718, -95, 8387, -8, 9, 8 
 999, 15:39:28, -1722, -88, 8387, -8, 9, 9 
 1003, 15:39:28, -1714, -100, 8388, -9, 7, 8 
 1004, 15:39:28, -1715, -95, 8379, -8, 9, 8 
 1005, 15:39:28, -1713, -95, 8389, -8, 9, 7 
 1006, 15:39:28, -1709, -100, 8376, -10, 8, 8 
 1007, 15:39:28, -1714, -96, 8380, -8, 8, 8 
 1008, 15:39:28, -1709, -91, 8404, -8, 8, 8 
 1009, 15:39:28, -1715, -93, 8390, -9, 9, 8 
 1010, 15:39:28, -1724, -105, 8393, -9, 9, 7 
 1015, 15:39:28, -1703, -96, 8389, -9, 9, 8 
 1017, 15:39:28, -1719, -78, 8365, -10, 10, 7 
 1018, 15:39:28, -1704, -88, 8371, -9, 10, 7 
 1019, 15:39:28, -1713, -107, 8387, -9, 9, 9 
 1020, 15:39:28, -1705, -107, 8386, -10, 8, 9 
 1024, 15:39:28, -1712, -99, 8387, -9, 9, 7 
 1025, 15:39:28, -1723, -104, 8378, -10, 8, 9 
 1027, 15:39:28, -1725, -111, 8399, -9, 8, 8 
 1028, 15:39:28, -1703, -119, 8392, -9, 8, 7 
 1029, 15:39:28, -1706, -98, 8383, -9, 8, 7 
 1031, 15:39:28, -1710, -96, 8397, -8, 7, 8 
 1033, 15:39:28, -1708, -87, 8369, -9, 7, 8 
 1034, 15:39:28, -1727, -90, 8389, -9, 8, 8 
 1035, 15:39:28, -1707, -96, 8405, -8, 7, 8 
 1038, 15:39:28, -1720, -114, 8371, -9, 7, 9 
 1039, 15:39:28, -1705, -104, 8373, -9, 8, 8 
 1040, 15:39:28, -1705, -110, 8388, -8, 7, 9 
 1041, 15:39:29, -1710, -95, 8389, -9, 8, 9 
 1043, 15:39:29, -1714, -93, 8390, -8, 8, 9 
 1046, 15:39:29, -1718, -93, 8376, -7, 6, 9 
 1047, 15:39:29, -1715, -113, 8380, -8, 7, 9 
 1048, 15:39:29, -1715, -96, 8397, -8, 6, 8 
 1049, 15:39:29, -1709, -83, 8386, -8, 7, 10 
 1051, 15:39:29, -1707, -111, 8379, -8, 6, 8 
 1054, 15:39:29, -1704, -94, 8385, -8, 7, 9 
 1055, 15:39:29, -1712, -94, 8388, -8, 5, 8 
 1056, 15:39:29, -1717, -97, 8377, -8, 6, 9 
 1060, 15:39:29, -1701, -110, 8377, -7, 6, 11 
 1074, 15:39:29, -1719, -89, 8378, -7, 7, 8 
 1077, 15:39:29, -1708, -110, 8388, -8, 7, 8 
 1078, 15:39:29, -1715, -105, 8391, -8, 7, 9 
 1080, 15:39:29, -1713, -97, 8384, -9, 6, 8 
 1081, 15:39:29, -1730, -91, 8378, -9, 7, 8 
 1082, 15:39:29, -1729, -105, 8374, -7, 8, 8 
 1084, 15:39:29, -1701, -102, 8377, -9, 6, 8 
