Num,Time,Accelx,Accely,Accelz,Gyrox,Gyroy,Gyroz
24931, 15:53:02, 25701, 2573, 13482, 29472, 24948, 29810 
 10805, 15:53:02, -860, 612, -7912, -8, 4, 0 
 10806, 15:53:02, -856, 608, -7927, -7, 4, 0 
 10807, 15:53:02, -865, 609, -7912, -8, 5, 1 
 10814, 15:53:03, -868, 609, -7911, -6, 3, 1 
 10818, 15:53:03, -845, 596, -7937, -9, 6, 0 
 10827, 15:53:03, -845, 611, -7919, -8, 2, 1 
 10829, 15:53:03, -849, 616, -7916, -8, 5, 0 
 10830, 15:53:03, -841, 600, -7932, -10, 5, 1 
 10832, 15:53:03, -853, 623, -7924, -6, 2, 2 
 10835, 15:53:03, -868, 608, -7917, -6, 1, 2 
 10836, 15:53:03, -832, 611, -7913, -6, 1, 1 
 10837, 15:53:03, -842, 611, -7927, -7, 3, 1 
 10847, 15:53:03, -843, 637, -7920, -6, 3, 0 
 10849, 15:53:03, -856, 614, -7928, -7, 2, -1 
 10850, 15:53:03, -863, 615, -7916, -7, 3, 0 
 10852, 15:53:03, -853, 601, -7917, -9, 3, 1 
 10853, 15:53:03, -847, 625, -7930, -8, 4, 0 
 10854, 15:53:03, -867, 621, -7930, -7, 4, 0 
 10856, 15:53:03, -855, 605, -7921, -7, 3, 1 
 10859, 15:53:03, -840, 627, -7920, -8, 3, 1 
 10860, 15:53:03, -834, 615, -7927, -7, 2, 2 
 10862, 15:53:03, -832, 608, -7926, -8, 3, 0 
 10863, 15:53:03, -851, 623, -7922, -8, 3, 0 
 10864, 15:53:03, -848, 620, -7924, -7, 2, 2 
 10865, 15:53:03, -850, 621, -7931, -7, 2, 3 
 10866, 15:53:03, -865, 603, -7908, -7, 3, 1 
 10869, 15:53:03, -838, 611, -7931, -8, 2, 1 
 10871, 15:53:03, -857, 620, -7894, -9, 3, 1 
 10873, 15:53:03, -844, 617, -7923, -7, 1, 1 
 10875, 15:53:03, -848, 595, -7932, -8, 3, 2 
 10876, 15:53:03, -848, 602, -7928, -6, 3, 2 
 10877, 15:53:03, -845, 617, -7936, -6, 3, 1 
 10878, 15:53:03, -844, 626, -7924, -6, 4, 0 
 10879, 15:53:03, -845, 615, -7923, -7, 4, 0 
 10881, 15:53:03, -849, 611, -7917, -4, 2, 2 
 10883, 15:53:03, -860, 624, -7902, -6, 2, 1 
 10884, 15:53:03, -838, 615, -7907, -5, 3, 1 
 10885, 15:53:03, -848, 623, -7913, -5, 4, 2 
 10886, 15:53:03, -848, 615, -7915, -4, 3, 1 
 10890, 15:53:03, -851, 610, -7910, -5, 3, 0 
 10893, 15:53:03, -842, 610, -7896, -5, 3, 0 
 10901, 15:53:03, -853, 618, -7925, -5, 2, 1 
 10902, 15:53:03, -844, 601, -7923, -6, 2, 0 
 10903, 15:53:03, -852, 630, -7930, -5, 3, 1 
 10907, 15:53:03, -853, 612, -7923, -4, 3, 0 
 10908, 15:53:03, -846, 616, -7922, -5, 3, -1 
 10910, 15:53:03, -847, 618, -7897, -5, 2, 1 
 10917, 15:53:04, -854, 620, -7919, -5, 5, 1 
 10918, 15:53:04, -856, 610, -7924, -6, 4, 1 
 10920, 15:53:04, -852, 628, -7918, -4, 3, 1 
 10921, 15:53:04, -849, 614, -7911, -5, 2, 1 
 10922, 15:53:04, -850, 608, -7913, -5, 2, 0 
 10924, 15:53:04, -856, 631, -7904, -4, 3, 2 
 10925, 15:53:04, -869, 611, -7929, -5, 2, 1 
